City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,New Norfolk,AU,52.0,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
80,Port Elizabeth,ZA,53.6,clear sky,-33.918,25.5701,39 On Nile Guest House
81,Puerto Leguizamo,CO,72.01,moderate rain,-0.1934,-74.7819,la casona de juancho
83,Port Alfred,ZA,63.55,broken clouds,-33.5906,26.891,The Halyards Hotel
87,Hobart,AU,53.01,light rain,-42.8794,147.3294,Mantra on Collins Hobart
89,Merauke,ID,82.11,broken clouds,-8.4667,140.3333,PC
90,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
91,Lebu,CL,52.45,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
92,Dom Pedrito,BR,69.01,scattered clouds,-30.9828,-54.6731,Hotel Alexandre
93,Victoria,HK,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
94,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
95,Saint George,US,64.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
97,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
99,Montevideo,UY,70.0,broken clouds,-34.8335,-56.1674,KOLPING Hotel
101,Shingu,JP,59.0,scattered clouds,33.7333,135.9833,Shingu UI Hotel
102,Atuona,PF,80.94,light rain,-9.8,-139.0333,Villa Enata
103,Vega De Alatorre,MX,81.79,broken clouds,20.0333,-96.6333,El Polo Norte
105,Champerico,GT,68.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
107,Ormara,PK,81.27,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
108,Quatre Cocos,MU,75.99,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
109,Airai,TL,74.32,clear sky,-8.9266,125.4092,Juvinal Martin
111,Kapoeta,SS,83.17,broken clouds,4.7717,33.5903,Eastgate Hotel
112,Souillac,MU,75.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
113,Lagoa,PT,57.78,overcast clouds,39.05,-27.9833,Casa Das Faias
114,Puerto Ayora,EC,73.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
115,Teahupoo,PF,84.2,light rain,-17.8333,-149.2667,Vanira Lodge
117,Laguna,US,57.2,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
118,Kahului,US,73.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
119,Ibra,OM,81.46,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
123,Kruisfontein,ZA,57.45,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
125,Palmer,US,53.6,overcast clouds,42.1584,-72.3287,Wedgewood Motel
126,Mahebourg,MU,75.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
128,Tripoli,LY,55.02,broken clouds,32.8752,13.1875,Hotel Al-Safwa
129,Faanui,PF,82.38,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,Russell,US,62.6,mist,32.3502,-85.1999,Macs
133,Ialibu,PG,59.77,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
134,Sambava,MG,77.79,light rain,-14.2667,50.1667,Melrose
140,Pimenta Bueno,BR,71.82,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
145,Curup,ID,81.12,broken clouds,-3.4667,102.5333,Ayi The Costel
